Vehicle ID,Date,Status,Stop Number,Latitude,Longitude,Distributor Name
99,02/01/2025,In Progress,,30.978537,72.491499,Al - Rayan Traders T.T SINGH -3
99,02/01/2025,In Progress,,30.807488,73.4603779,BASHIR SHABIR & CO OKARA-17
99,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
12,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
12,02/01/2025,In Progress,,31.509033,73.11008725,ABDUL REHMAN TRADERS DHANOLA
12,02/01/2025,In Progress,,32.91322,71.579022,ALI TRADERS SIKANDRABAD.05
12,02/01/2025,In Progress,,31.390706,71.434574,WARRIACH TRADERS MANKERA
12,02/01/2025,In Progress,,31.2973293,72.3172379,MODERN TRADERS JHANG-9
12,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
2111,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
2111,02/01/2025,In Progress,,31.387262,73.201287,YAWAR BROTHERS ROUTE-130
2111,02/01/2025,In Progress,,30.8494521,73.4446188,GLOBAL TRADERS OKARA-18
2111,02/01/2025,In Progress,,30.807488,73.4603779,BASHIR SHABIR & CO OKARA-17
2111,02/01/2025,In Progress,,31.638786,71.067333,Kashi Traders Bhakar.8
2111,02/01/2025,In Progress,,31.41472,73.037068,YOUNAS TRADERS (main sani road)
2111,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
